ï»¿web-scraper-order,web-scraper-start-url,department,department-href,courseprefix,course_id,title,lectures,labs,units,prequisites,concurrent,corequisites,recommended,term_offered,description,,
1539935039-3905,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 203,Organic Enterprise,1,,2,,,,,"F, W, SP","Beginning field experience in production and marketing of organic vegetable crops. May include cultural practices, harvesting, processing, sales and marketing activities. Credit/No Credit grading only. 1 lecture, 1 activity.",,
1539935039-3906,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 204,Vegetable Enterprise Project,1,,2,,,,,"F, W, SP","Beginning field experience in vegetable production systems. May include cultural practices, harvesting, processing, sales and marketing activities. Credit/No Credit grading only. 1 lecture, 1 activity.",,
1539935039-3907,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 210,Viticultural Practices,,,2,,,,,"W, SP","Critical viticultural practices including planting, pruning, canopy management, fruit thinning, harvest, floor management, trellis and irrigation maintenance. 2 activities. Crosslisted as AEPS/WVIT 210.",,
1539935039-3908,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 212,Environmental Horticulture Enterprise Project I,1,,2,,,,,"F, W, SP","Beginning field experience in environmental horticulture. Selection and completion of a management/production project. Credit/No Credit grading only. 1 lecture, 1 activity.",,
1539935039-3909,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 215,Floral Design I,1,2,3,,,,,"F, W","Fundamentals of theory, techniques and skills currently practiced in the floral industry. Intended as consumer education for non-majors as well as initial preparation for pre-professionals. Includes applied art principles, post-harvest care and handling practices, and proper use of florist tools and materials in developing basic designs. 1 lecture, 2 laboratories.",,
1539935039-3910,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 225,Floral Design II,1,2,3,AEPS 215,,,,SP,"Expanded exploration and application of design theory to commercial products and services in the retail floral industry.  Appropriate utilization of current sales and business practices in a florist setting.  Advanced techniques and skills for construction of designs for weddings, advanced arrangements, and designs for events.  1 lecture, 2 laboratories.",,
1539935039-3911,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 230,Environmental Horticulture,3,1,4,,,,,F,"Technical information and recommendations for the residential horticulturist. Propagation, pruning, planting, media, fertilizers, pest and weed control, landscaping, maintenance, identification and care of ornamental plants. Being a wise horticultural consumer. Not open to Agricultural and Environmental Plant Sciences majors. 3 lectures, 1 laboratory.",,
1539935039-3912,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 233,Plant Materials I,3,1,4,,,,,SP,"Identification, habits of growth, cultural requirements, and use of ornamental plants in the landscape. 3 lectures, 1 laboratory.",,
1539935039-3913,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 234,Plant Materials II,3,1,4,,,,,F,"Identification, habits of growth, cultural requirements, and use of ornamental plants in the landscape. 3 lectures, 1 laboratory.",,
1539935039-3914,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 240,Commercial Seed Production,3,1,4,AEPS 120 or AEPS 260,,,,SP,"Production of field and vegetable seed.  Seed technology, germination, quality control, seed enhancement, storage and handling of seed, and seed laws.  Field trip to a seed conditioning/seed enhancement facility required.  3 lectures, 1 laboratory.",,
1539935039-3915,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 244,Precision Farming,3,1,4,AEPS 133 or AEPS 190 or AEPS 260 or BRAE 237 or BRAE 239,,,,W,"Precision agriculture applications.  Integrating GIS, GPS, and remote sensing technologies with site-specific farming practices to optimize agricultural productivity.  Field trip required.  3 lectures, 1 laboratory.  Crosslisted as AEPS/BRAE 244.",,
1539935039-3916,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 245,Horticultural Production Techniques,,1,3,,,,,F,"Applied principles of plant growth in relation to the production horticulture industry. Emphasis on container media, fertilizing practices, irrigation, plant growth regulators, and miscellaneous growing structures. 2 activities, 1 laboratory.",,
1539935039-3917,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 250,California Fruit Growing,3,1,4,,,,,TBD,"Interrelationship of climate and cultural techniques on orchard productivity. California's place in the international production-marketing scheme. Field trip required. Not open to Agricultural and Environmental Plant Sciences majors, or students with credit in AEPS 132. 3 lectures, 1 laboratory.",,
1539935039-3918,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 260,Introduction to Vegetable Science,3,1,4,,,,,TBD,"Environmental and cultural principles involved in the production of California vegetable crops; temperature, daylength and fertility effects on production and yield, use of plastic mulches and row covers, and use of transplants. Harvest principles and precooling methods. Not open to Agricultural and Environmental Plant Sciences majors or students with credit in AEPS 190. 3 lectures, 1 laboratory.",,
1539935039-3919,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 270,Selected Topics,1 to 4,,1-4,Open to undergraduate students and consent of instructor,,,,TBD,Directed group study of selected topics.  The Schedule of Classes will list title selected.  Total credit limited to 8 units.  1 to 4 lectures.,,
1539935039-3920,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 301,Principles of Landscape Design,2,2,4,"AEPS 127, and AEPS 233 or AEPS 234",,,,TBD,"Introduction to basic principles and elements of residential landscape design, design theory, plant composition, creative problem solving, functional and aesthetic uses of landscape materials, client and maintenance criteria, and sustainable design concepts.  Intermediate computer aided design drafting and drawing skills.  2 lectures, 2 laboratories.",,
1539935039-3921,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 304,Introduction to Plant Breeding,4,,4,AEPS 120 and STAT 218,,,"one of the following: AEPS 132, AEPS 190, AEPS 230, AEPS 245, AEPS 250, or WVIT 233","W, SP","Principles of qualitative and quantitative genetics useful in the development of new plant varieties.  Procedures for the creation of genetic variability, testing procedures, and selection schemes for development of improved plant types.  4 lectures.",,
1539935039-3922,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 312,Environmental Horticulture Enterprise Project II,1,,2,Consent of instructor,,,,"F, W, SP","Field experience in environmental horticulture.  Selection and completion of a management/production project under faculty supervision.  Credit/No Credit grading only.  1 lecture, 1 activity.",,
1539935039-3923,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 313,Agricultural Entomology,3,1,4,"AEPS 120 or BOT 121; and one of the following: CHEM 110, CHEM 111, or CHEM 127",,,,"F, SP","The science of entomology as it relates to insects of importance in agriculture.  Focus on the biology, ecology and identification of insects and mites important to California horticulture, field crops and landscapes.  3 lectures, 1 laboratory.",,
1539935039-3924,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 315,Organic Crop Production,3,,4,Junior standing and completion of GE Area B,,,,"F, SP","Origins, application, regulation and technology of organic crop production.  Theoretical and practical issues surrounding organic crop production from a cross-disciplinary perspective.  Topics include the history of the organic movement; current regulation and certification; and field management practices and technologies.  Features industry guest lecturers.  3 lectures, 1 activity.  Crosslisted as AEPS/AG 315.  Fulfills GE Area F.",,
1539935039-3925,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 321,Weed Biology and Management,3,1,4,AEPS 120 or BOT 121,,,,"F, SP","Weed ecology, biology, and implications for management.  Identification of weedy and invasive plant species in annual agricultural, perennial semi-managed, range, aquatic, and forest ecosystems, to elucidate weaknesses and strengths in order to facilitate vegetation management.  Organic, cultural, biological, mechanical, and chemical methods and their integrated pest management (IPM) uses.  3 lectures, 1 laboratory.",,
1539935039-3926,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 323,Plant Pathology,2,2,4,BIO 162 or BOT 121,,,,"F, SP","Comprehensive study of the causes and effects of disease in plants.  Designed to lead to an understanding of the science and modern control methods.  2 lectures, 2 laboratories.  Crosslisted as AEPS/BOT 323.",,
1539935039-3927,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 327,Vertebrate Pest Management,3,1,4,Junior standing,,,,W,"Vertebrate pests injurious to crops, livestock, forest products, wildlife, stored products and humans.  Life habits, identification, control methods, and materials.  Related laws and regulations.  3 lectures, 1 laboratory.",,
1539935039-3928,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 329,"Plants, Food, and Biotechnology",3,1,4,"Junior standing and completion of one of the following: AEPS 120, BIO 111, BIO 114, BIO 161, or BOT 121",,,,F,"Agriculture as applied biology and its impact on civilization.  Application of technology to increase the efficiency of food production.  Genetics and biotechnology; culminating in an assessment of genetically engineered foods, the myths, the controversy, the science.  Not open to Agricultural and Environmental Plant Sciences majors.  3 lectures, 1 laboratory.  Crosslisted as AEPS/BOT 329.  Fulfills GE Area F.",,
1539935039-3929,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 331,Advanced Viticulture - Fall,3,1,4,AEPS/WVIT 231 or WVIT 232 or WVIT 233,,,,"F, SU","Advanced viticulture theory and practice, with an emphasis on fall season activities.  Identification of rootstocks, wine and table grapes, species taxonomy and diversity, and breeding for grapevine improvement.  Field trips required.  3 lectures, 1 laboratory.  Crosslisted as AEPS/WVIT 331.",,
1539935039-3930,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 332,Landscape Contracting,3,1,4,AEPS 126 and AEPS 127,,,,SP,"Practices in supervising personnel and applying standard techniques in landscape construction.  Cost finding and estimating for landscape trades.  3 lectures, 1 laboratory.",,
1539935039-3931,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 333,Greenhouse Vegetable Production,,,2,AEPS 120; CHEM 111 or CHEM 127; and SS 221,,,,F,"Development, practices, history, and future of crop production in greenhouses.  Research applications, commercial applications, production problems, marketing, and economics.  Special emphasis on growing transplants in greenhouses and use of nutrient solutions.  Field trips to a commercial greenhouse operation and/or analysis lab required.  2 activities.",,
1539935039-3932,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 339,Internship in Horticulture and Crop Science,,,1-12,Consent of instructor,,,,"F,W,SP,SU",Selected Horticulture and Crop Science students will spend up to 12 weeks with an approved agricultural/horticultural firm engaged in production or related business.  Time will be spent applying and developing production and managerial skills and abilities.  One unit of credit may be allowed for each full week of completed and reported internship.  Degree credit limited to 6 units.  Credit/No Credit grading only.,,
1539935039-3933,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 340,Principles of Greenhouse Environment,3,1,4,AEPS 245,,,,SP,"Analysis of problems and practices affecting the contemporary commercial horticulturist.  Analysis and operation of greenhouses and related equipment stressing the effect of environment on plant growth.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3934,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 341,Cut Flower Production,3,1,4,AEPS 120,,,,F,"Production of cut flowers and other fresh florists' commodities in greenhouses and outdoors.  Preparation and scheduling of such commodities for major markets.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3935,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 342,Potted Plant Production,3,1,4,AEPS 245,,,,W,"Production of major commercial flowering potted plants in greenhouses and outdoors.  Preparation and scheduling of potted flowering greenhouse crops for major markets.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3936,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 343,Turfgrass Management,3,1,4,AEPS 120 or BOT 121; and SS 121,,,,F,"Turfgrass species and uses.  Principles of turfgrass physiology and communities under different environments.  Overview of procedures and equipment for propagation, mowing, irrigation, fertilization, aerification, and pest control.  3 lectures, 1 laboratory.",,
1539935039-3937,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 350,Abiotic Plant Problems,2,1,3,AEPS 124; CHEM 111 or CHEM 127; and SS 121,,,,W,"Diagnosis of physiological disorders associated with environmental and nutritional factors.  Particular emphasis on the systematic inquiry process.  Case histories, multimedia use.  2 lectures, 1 laboratory.",,
1539935039-3938,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 351,Experimental Techniques and Analysis,3,1,4,"Junior standing and MATH 118 or equivalent, and STAT 218",,,,W,"Principal experimental designs used in agriculture and methods of statistical analysis of data collected from each.  Statistical software.  Field practice in planning and layout of typical experiments.  3 lectures, 1 laboratory.",,
1539935039-3939,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 355,Citrus and Avocado Fruit Production,3,1,4,AEPS 120 or AEPS 250,,,,SP,"World citrus and avocado production and marketing.  Orchard management techniques.  Relationship of environment to species, cultivar, and rootstock selection.  Field trip to a major California production area required.  3 lectures, 1 laboratory.",,
1539935039-3940,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 381,Native Plants for California Landscapes,3,1,4,BOT 121 and junior standing,,,,SP,"Horticultural investigation of the California flora with emphasis on landscape use and potential.  Plant recognition, identification, propagation and culture.  Utilization of native plants in landscape design and habitat restoration.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3941,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 400,Special Problems for Advanced Undergraduates,,,1-4,Consent of instructor,,,,"F,W,SP,SU","Individual investigation, research, studies, or surveys of selected problems.  Total degree credit limited to 4 units, with a maximum of 4 units per quarter.  Report required.",,
1539935039-3942,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 402,Fruit Enterprise Project Management,1,,2,AEPS 202 and consent of instructor,,,,TBD,"Advanced experience in production of orchards.  Development and execution of a plan for field operations, fruit processing and/or marketing.  Management decision-making.  Total credit limited to 4 units.  Credit/No Credit grading only.  1 lecture, 1 activity.",,
1539935039-3943,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 403,Organic Enterprise Project Management,1,,2,AEPS 203 and consent of instructor,,,,TBD,"Advanced experience in production of organic vegetables.  Development and execution of a plan for planting schedule, cultivation, harvest, and/or marketing.  Management decision-making.  Total credit limited to 4 units.  Credit/No Credit grading only.  1 lecture, 1 activity.",,
1539935039-3944,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 404,Vegetable Enterprise Project Management,1,,2,AEPS 204 and consent of instructor,,,,TBD,"Advanced experience in the production of vegetable crops.  Development, management and implementation of cultural practices, harvesting, processing, sales and marketing activities for vegetable crops.  Total credit limited to 4 units.  Credit/No Credit grading only.  1 lecture, 1 activity.",,
1539935039-3945,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 406,Advanced Weed Management,4,,4,AEPS 321,,,,W,"Advanced coverage of sustainable weed and invasive plant management technologies.  Concepts include environmental fates, plant metabolism, ecology and biology of weeds, and mechanisms of action of herbicides.  Plant biotechnology as it relates to herbicide resistance in crops and weeds.  4 lectures.",,
1539935039-3946,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 410,Crop Physiology,3,1,4,"AEPS 120 or BIO 263; BIO 162 or BOT 121; and CHEM 216, CHEM 312 or CHEM 316",,,,SP,"Ecological and physiological interactions associated with the production of crop plants.  Physiological and biochemical processes that elucidate the mechanism of whole plant performance and responses to the environment.  3 lectures, 1 laboratory.",,
1539935039-3947,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 414,Grape Pest Management,3,,4,"AEPS/WVIT 231, WVIT 232 or WVIT 233; AEPS 313; AEPS/BOT 323",,,,F,"Comprehensive survey of major grape pests including diseases, insects, weeds, vertebrates, and nematodes.  Identification and biology of grape pests and natural enemies, monitoring, and integrated pest management (IPM) strategies, including cultural, biological, and chemical controls.  Guest lectures.  3 lectures, 1 activity.  Crosslisted as AEPS/WVIT 414.",,
1539935039-3948,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 421,Postharvest Technology of Horticultural Crops,3,1,4,Junior standing,,,,W,"Respiration, ethylene, ripening and senescence; modified atmosphere packaging, controlled atmosphere storage, packinghouses and transportation; survey of postharvest techniques to maximize commodity shelf-life.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3949,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 423,Advanced Vegetable Science,3,1,4,AEPS 190 or AEPS 260,,,,TBD,"Agricultural land conservation; current laws impacting vegetable production and marketing.  Environmental and cultural effects on selected vegetables including specific effects on growth, flowering, fruiting and yield.  Field trip to desert vegetable production regions required.  3 lectures, 1 laboratory.",,
1539935039-3950,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 424,Nursery Crop Production,3,1,4,AEPS 124,,,,W,"Comprehensive and historical overview of the nursery industry.  Types of wholesale nurseries and their products.  Plant production systems, scheduling, and marketing.  Emphasis on medium to large woody plants and deciduous field-grown ornamental trees and shrubs in the western U.S.  Field trip required.  3 lectures, 1 laboratory.",,
1539935039-3951,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 425,Arboriculture,2,2,4,"AEPS 123, AEPS 233, and AEPS 234 or NR 208 for FNR majors",,,,F,"Theory and practice for the care and management of ornamental trees.  Selection, planting, establishment, maintenance of specimen trees.  Professional use of ropes and safety equipment.  Tree evaluation, scheduling cultural practices, bracing, cabling, specialty hand and power equipment operation, safety regulations.  2 lectures, 2 laboratories.",,
1539935039-3952,http://catalog.calpoly.edu/coursesaz,Agricultural and Environmental Plant Sciences (AEPS),http://catalog.calpoly.edu/coursesaz/aeps/,AEPS,AEPS 427,Disease and Pest Control Systems for Ornamental Plants,3,1,4,"AEPS 120, AEPS 313, AEPS 321, and AEPS/BOT 323",,,,W,"Recognition, prevention and control of diseases, insect/mite pests and weeds that impact commercial ornamental plantings.  Integrated pest management strategies presented including biological, cultural, and safe and proper pesticidal controls.  Laboratory emphasizes monitoring, problem solving and application of appropriate pest control measures.  3 lectures, 1 laboratory.",,
